"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 11 기","985176000000","제 10 기","922685000000","제 9 기","807490000000","1","KRW",NA
"2","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 11 기","120270000000","제 10 기","104607000000","제 9 기","96459000000","2","KRW",NA
"3","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권및기타채권","-","제 11 기","279366000000","제 10 기","230589000000","제 9 기","231956000000","3","KRW",NA
"4","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치 측정 금융자산","-","제 11 기","2000000","제 10 기","0","제 9 기","0","4","KRW",NA
"5","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_OtherCurrentFinancialAssets","기타유동금융자산","-","제 11 기","162283000000","제 10 기","281807000000","제 9 기","188916000000","5","KRW",NA
"6","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 11 기","409694000000","제 10 기","289299000000","제 9 기","272470000000","6","KRW",NA
"7","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 11 기","461000000","제 10 기","312000000","제 9 기","4647000000","7","KRW",NA
"8","20220812000103","11011","2021","00896285","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 11 기","11551000000","제 10 기","12044000000","제 9 기","13042000000","8","KRW",NA
"9","20220812000103","11011","2021","00896285","BS","재무상태표","-표준계정코드 미사용-","매각예정자산","-","제 11 기","1549000000","제 10 기","4027000000","제 9 기","0","9","KRW",NA
"10","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 11 기","1816871000000","제 10 기","1653793000000","제 9 기","1580670000000","10","KRW",NA
"11","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 11 기","1137936000000","제 10 기","1120872000000","제 9 기","1094822000000","11","KRW",NA
"12","20220812000103","11011","2021","00896285","BS","재무상태표","dart_GoodwillGross","영업권","-","제 11 기","198641000000","제 10 기","198641000000","제 9 기","198641000000","12","KRW",NA
"13","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_IntangibleAssetsOtherThanGoodwill","무형자산","-","제 11 기","63027000000","제 10 기","42253000000","제 9 기","45730000000","13","KRW",NA
"14","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_InvestmentProperty","투자부동산","-","제 11 기","16971000000","제 10 기","4144000000","제 9 기","4439000000","14","KRW",NA
"15","20220812000103","11011","2021","00896285","BS","재무상태표","-표준계정코드 미사용-","관계기업주식및공동기업주식","-","제 11 기","20978000000","제 10 기","19428000000","제 9 기","15721000000","15","KRW",NA
"16","20220812000103","11011","2021","00896285","BS","재무상태표","-표준계정코드 미사용-","장기기타채권","-","제 11 기","15364000000","제 10 기","16656000000","제 9 기","16262000000","16","KRW",NA
"17","20220812000103","11011","2021","00896285","BS","재무상태표","-표준계정코드 미사용-","당기손익-공정가치측정금융자산","-","제 11 기","13808000000","제 10 기","9803000000","제 9 기","4957000000","17","KRW",NA
"18","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치측정금융자산","-","제 11 기","348276000000","제 10 기","240316000000","제 9 기","198703000000","18","KRW",NA
"19","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_OtherNoncurrentFinancialAssets","기타비유동금융자산","-","제 11 기","11000000","제 10 기","11000000","제 9 기","11000000","19","KRW",NA
"20","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_DeferredTaxAssets","이연법인세자산","-","제 11 기","484000000","제 10 기","695000000","제 9 기","271000000","20","KRW",NA
"21","20220812000103","11011","2021","00896285","BS","재무상태표","dart_OtherNonCurrentAssets","기타비유동자산","-","제 11 기","1375000000","제 10 기","974000000","제 9 기","1113000000","21","KRW",NA
"22","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 11 기","2802047000000","제 10 기","2576478000000","제 9 기","2388160000000","22","KRW",NA
"23","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 11 기","749249000000","제 10 기","465708000000","제 9 기","400105000000","24","KRW",NA
"24","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_TradeAndOtherCurrentPayables","매입채무및기타채무","-","제 11 기","246510000000","제 10 기","210985000000","제 9 기","183545000000","25","KRW",NA
"25","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_ShorttermBorrowings","단기차입금","-","제 11 기","179109000000","제 10 기","70339000000","제 9 기","120307000000","26","KRW",NA
"26","20220812000103","11011","2021","00896285","BS","재무상태표","-표준계정코드 미사용-","유동성사채","-","제 11 기","139985000000","제 10 기","49958000000","제 9 기","0","27","KRW",NA
"27","20220812000103","11011","2021","00896285","BS","재무상태표","ifrs-full_CurrentPortionOfLongtermBorrowings","유동성장기차입금","-","제 11 기","114671000000","제 10 기","42671000000","제 9 기","22811000000","28","KRW",NA
