"","X2020.12","X2021.12"
"재무활동으로인한현금유입액",503,707
"사채의증가",NA,NA
"차입금의증가",501,706
"미지급금의증가",NA,NA
"유동성장기부채의증가",NA,NA
"기타금융부채의증가",NA,0
"기타부채의증가",NA,NA
"유상증자",NA,NA
"자기주식의처분",NA,NA
"주식매입선택권의행사",NA,NA
"자본구성항목의증가",NA,NA
"기타재무활동으로인한현금유입액",2,NA
"(재무활동으로인한현금유출액)",747,735
"사채의감소",NA,NA
"차입금의감소",713,708
"미지급금의감소",NA,NA
"유동성장기부채의감소",NA,NA
"기타금융부채의감소",34,27
"기타부채의감소",NA,NA
"유상감자",NA,NA
"자기주식의취득",NA,NA
"자본구성항목의감소",NA,NA
"기타재무활동으로인한현금유출액",NA,NA
"기타재무활동으로인한현금흐름",-43,-43
"영업투자재무활동기타현금흐름",NA,NA
"연결범위변동으로인한현금의증가",NA,NA
"환율변동효과",-2,0
"현금및현금성자산의증가",402,196
"기초현금및현금성자산",181,583
"기말현금및현금성자산",583,779
